address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage,,,,,,,,,,,,,,
232 2565 W Broadway Avenue,"$1,065,000",2,3,Built in 1995 (25 yrs old),"$2,823",$481,Vancouver West,Kitsilano,Townhouse,Freehold Strata,Inside Unit,R2504537,Michael Uy PREC*,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
203 2160 Cornwall Avenue,"$948,000",2,2,Built in 1992 (28 yrs old),"$2,402",$508,Vancouver West,Kitsilano,Apt/Condo,Freehold Strata,End Unit,R2500456,Rod MacKay,"Maude, Mackay & Co. Ltd.",,,,,,,,,,,,,,
2781 W 15th Avenue,"$2,470,000",4,3,4026 ft²,Built in 1929 (91 yrs old),"$7,109",Vancouver West,Kitsilano,House,Freehold NonStrata,1 Storey,33.00 feet,R2497832,Ken Cui PREC*,,,,,,,,,,,,,,
2289 W 12th Avenue,"$1,299,000",2,2,Built in 1998 (22 yrs old),"$2,879",$517,Vancouver West,Kitsilano,Townhouse,Freehold Strata,"2 Storey,Ground Level Unit",R2497024,Lotus Yuen PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
1768 Cypress Street,"$2,190,000",3,3,Built in 2022 (-2 yrs old),$999,$545,Vancouver West,Kitsilano,Townhouse,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2496199,Ken Chong PREC*,,,,,,,,,,,,,,
1897 W 2nd Avenue,"$2,180,000",2,3,Built in 2022 (-2 yrs old),$999,$562,Vancouver West,Kitsilano,Townhouse,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2494342,Ken Chong PREC*,,,,,,,,,,,,,,
2070 W 14th Avenue,"$3,788,000",8,4,50 ft x 125 ft (6250 ft²),Built in 1922 (98 yrs old),"$10,423",Vancouver West,Kitsilano,House,Freehold NonStrata,Reverse 2 Storey w/Bsmt,125,50.00 feet,R2493457,,,,,,,,,,,,,,
2917 W 20th Avenue,"$4,288,000",5,5,42 ft x 122 ft (5129 ft²),Built in 2013 (7 yrs old),"$12,652",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122.12,42.00 feet,,,,,,,,,,,,,,
2688 W 19th Avenue,"$3,800,000",6,6,52 ft x 120 ft (6240 ft²),Built in 1987 (33 yrs old),"$11,176",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey,120,52.00 feet,R2520899,,,,,,,,,,,,,,
3008 W 21st Avenue,"$2,780,000",2,1,33 ft x 122 ft (4026 ft²),Built in 1941 (79 yrs old),"$7,278",Vancouver West,Arbutus,House,Freehold NonStrata,1 Storey,122,33.00 feet,R2518002,,,,,,,,,,,,,,
2848 W 20th Avenue,"$3,380,000",5,4,40 ft x 122 ft (4882 ft²),Built in 1993 (27 yrs old),"$9,251",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122.05,40.00 feet,R2511456,,,,,,,,,,,,,,
2181 W 22nd Avenue,"$5,680,000",6,7,50 ft x 122 ft (6100 ft²),Built in 2020 (0 yrs old),"$13,110",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,50.00 feet,R2506722,,,,,,,,,,,,,,
2996 W 21st Avenue,"$2,488,000",4,3,38 ft x 122 ft (4660 ft²),Built in 2020 (0 yrs old),$0,$0,Vancouver West,Arbutus,Duplex,Freehold Strata,2 Storey,122.3,38.10 feet,,,,,,,,,,,,,,
3738 Carnarvon Street,"$2,688,000",5,4,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Arbutus,Duplex,Freehold Strata,3 Storey w/Bsmt.,R2523926,Mark Wiens PREC*,,,,,,,,,,,,,,
4248 Quesnel Drive,"$5,380,000",4,5,50 ft x 129 ft (6469 ft²),Built in 1995 (25 yrs old),"$17,499",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,129.38,50.00 feet,R2522523,,,,,,,,,,,,,,
2791 Alamein Avenue,"$2,998,000",3,3,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Arbutus,Duplex,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2520279,,,,,,,,,,,,,,
2789 Alamein Avenue,"$2,199,000",2,3,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Arbutus,Duplex,Freehold Strata,"3 Storey,Corner Unit",Heat Recovery Ventilator,R2520264,,,,,,,,,,,,,,
2833 W 18th Avenue,"$1,998,000",3,2,33 ft x 92 ft (3046 ft²),Built in 1956 (64 yrs old),"$6,474",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey,92.3,33.00 feet,R2514279,,,,,,,,,,,,,,
2969 W 22nd Avenue,"$4,350,000",5,6,42 ft x 122 ft (5124 ft²),Built in 2011 (9 yrs old),"$6,983",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,42.00 feet,R2504265,,,,,,,,,,,,,,
2557 W King Edward Avenue,"$2,598,000",4,2,51 ft x 122 ft (6220 ft²),Built in 1953 (67 yrs old),"$7,860",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey,122,51.00 feet,R2502364,,,,,,,,,,,,,,
2137 W 20th Avenue,"$3,698,000",6,6,50 ft x 122 ft (6100 ft²),Built in 1992 (28 yrs old),"$11,588",Vancouver West,Arbutus,House,Freehold NonStrata,2 Storey w/Bsmt.,122,50.00 feet,R2496211,,,,,,,,,,,,,,
