11640 Montego Street,"$2,388,000",5,6,66 ft x 122 ft (8712 ft²),Built in 2017 (3 yrs old),"$6,069",East Cambie,House,Freehold NonStrata,2 Storey,122,66.00 feet,R2522787,Karen Zhao PREC*,RE/MAX Crest Realty,19 Days on REW,"Central Location, Garden","Central Air Conditioning, Recreation Nearby, Shopping Nearby",In Suite Laundry,2,Yes,,,,,
113 11771 Daniels Road,"$578,000",2,2,Built in 1992 (28 yrs old),"$1,711",$514,East Cambie,Apt/Condo,Freehold Strata,Corner Unit,R2505828,Diana Dickey,Sutton Group Seafair Realty,Tina Gonzalez,Sutton Group Seafair Realty,21 Days on REW,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Elevator, Guest Suite, In Suite Laundry, Recreation Center, Wheelchair Access, Workshop Attached",1,,,,,,
11120 Bird Road,"$2,458,000",5,8,66 ft x 140 ft (9294 ft²),Built in 2016 (4 yrs old),"$6,142",East Cambie,House,Freehold NonStrata,2 Storey,140,66.00 feet,R2521909,Eric Ho PREC*,Nu Stream Realty Inc.,Michelle Ao PREC*,Nu Stream Realty Inc.,24 Days on REW,Vacuum - Built In,"Air Conditioning, Central Air Conditioning","In Suite Laundry, Washer/Dryer/Fridge/Stove/Dishwasher",2,Yes,,,
4780 No 5 Road,"$1,599,000",6,3,52 ft x 120 ft (6350 ft²),Built in 1993 (27 yrs old),"$4,014",East Cambie,House,Freehold NonStrata,2 Storey,120,52.00 feet,R2521874,Morning Yu PREC*,LeHomes Realty First,Jennifer Yang,LeHomes Realty First,Fan Yang,LeHomes Realty First,24 Days on REW,"Central Location, Private Yard","Recreation Nearby, Shopping Nearby",2,,,
11560 Montego Street,"$2,788,000",5,6,67 ft x 129 ft (8710 ft²),Built in 2019 (1 yrs old),"$6,145",East Cambie,House,Freehold NonStrata,2 Storey,129.2,67.40 feet,R2513204,Karen Zhao PREC*,RE/MAX Crest Realty,60 Days on REW,"Central Location, Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Security System, Smoke Alarm, Vacuum - Built In","Air Conditioning, Shopping Nearby","Dishwasher, Washer/Dryer/Fridge/Stove/Dishwasher",2,Yes,,,,,
12520 Jack Bell Drive,"$1,888,888",5,4,6452 ft²,Built in 1995 (25 yrs old),"$4,516",East Cambie,House,Freehold NonStrata,2 Storey,R2503123,Michelle Ao PREC*,Nu Stream Realty Inc.,Eric Ho PREC*,Nu Stream Realty Inc.,89 Days on REW,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,,
93 4991 No 5 Road,"$1,088,800",4,4,Built in 2021 (-1 yrs old),$0,$352,East Cambie,Townhouse,Freehold Strata,3 Storey,R2491526,Sean Lawson PREC*,RE/MAX Westcoast,123 Days on REW,Garage Door Opener,"Central Location, Lane Access, Private Setting, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher","Club House, Exercise Centre, Garden, Playground",,,,,,,,
11631 Aztec Street,"$1,318,000",3,2,66 ft x 132 ft (8712 ft²),Built in 1959 (61 yrs old),"$3,833",East Cambie,House,Freehold NonStrata,2 Storey,132,66.00 feet,R2484014,Henry Wu PREC*,LeHomes Realty Premier,143 Days on REW,Central Location,"Recreation Nearby, Shopping Nearby",,,,,,,,
92 4991 No 5 Road,"$1,098,800",4,4,Built in 2021 (-1 yrs old),$0,$329,East Cambie,Townhouse,Freehold Strata,3 Storey,R2467278,Sean Lawson PREC*,RE/MAX Westcoast,192 Days on REW,Garage Door Opener,"Central Location, Lane Access, Private Setting, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher","Club House, Exercise Centre, Garden, Playground",,,,,,,,
114 11240 Daniels Road,"$379,000",1,1,Built in 1978 (42 yrs old),$904,$240,East Cambie,Apt/Condo,Freehold Strata,1 Storey,R2522425,Pedro Bello,Macdonald Realty Westmar,20 Days on REW,Drapes/window Coverings,"Private Setting, Recreation Nearby, Shopping Nearby","Dishwasher, Refrigerator, Stove",Storage,,,,,,,,
3471 Scratchley Crescent,"$1,800,000",4,4,5400 ft²,Built in 2011 (9 yrs old),"$4,131",East Cambie,House,Freehold NonStrata,2 Storey,R2520379,Deborah Li,Lico Realty Ltd.,31 Days on REW,"Air Conditioning, Central Location, Drapes/window Coverings","In Suite Laundry, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,1,Yes,,,,,,,
12371 Flury Drive,"$2,388,000",7,5,66 ft x 132 ft (8733 ft²),Built in 2019 (1 yrs old),"$6,158",East Cambie,House,Freehold NonStrata,2 Storey,132,66.00 feet,R2518041,Shamim Dada PREC*,Selmak Realty Limited,40 Days on REW,"Air Conditioning, Drapes/window Coverings, Garage Door Opener, Intercom, Oven - Built In, Security System, Smoke Alarm, Vacuum - Built In","Range Top, Washer/Dryer/Fridge/Stove/Dishwasher",2,Yes,,,,,,
16 12900 Jack Bell Drive,"$699,000",3,3,Built in 1995 (25 yrs old),"$2,112",$311,East Cambie,Townhouse,Freehold Strata,3 Storey,R2517501,Harmon Mann,Jovi Realty Inc.,42 Days on REW,"Club House, Exercise Centre, In Suite Laundry, Playground, Swirlpool/Hot Tub",1,,,,,,,,,,
11660 Montego Street,"$1,998,888",4,4,6136 ft²,Built in 2020 (0 yrs old),$0,East Cambie,House,Freehold NonStrata,2 Storey,46.50 feet,R2517378,Gurveer/Goldy Bhullar,Roslyn & Associates Realty Ltd,43 Days on REW,2,,,,,,,,,,
11060 Bird Road,"$2,200,000",4,1,66 ft x 407 ft (2686 ft²),Built in 1955 (65 yrs old),"$5,515",East Cambie,House,Freehold NonStrata,Basement Entry,407,66.00 feet,R2514465,Tim Timmath,Homelife Benchmark Titus Realty,Daniel Romey PREC*,Homelife Benchmark Titus Realty,53 Days on REW,"Central Location, Private Setting",Clothes Washer/Dryer,1,,,,,
12680 Harrison Avenue,"$1,830,000",6,3,9547 ft²,Built in 1995 (25 yrs old),"$4,864",East Cambie,House,Freehold NonStrata,2 Storey,0.00 feet,R2508678,Mark Tsang,Selmak Realty Limited,74 Days on REW,"Central Location, Garage Door Opener, Security System, Smoke Alarm","Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,
208 11240 Daniels Road,"$460,000",2,2,Built in 1978 (42 yrs old),$644,$327,East Cambie,Apt/Condo,Freehold Strata,Upper Unit,R2507088,Gaurav Maini,YPA Your Property Agent,Atul Maini,YPA Your Property Agent,79 Days on REW,"Drapes/window Coverings, Smoke Alarm","Recreation Nearby, Shopping Nearby","Dishwasher, Refrigerator, Stove","Elevator, Sauna/Steam Room, Shared Laundry, Storage",,,,,,
4411 Wyne Crescent,"$1,599,000",4,4,0 ft x 0 ft (4857 ft²),Built in 1995 (25 yrs old),"$4,183",East Cambie,House,Freehold NonStrata,2 Storey,0,0.00 feet,R2503699,Rena Liang PREC*,Sutton Group-West Coast Realty,89 Days on REW,Private Yard,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,
3671 Bamfield Drive,"$1,320,000",4,3,5151 ft²,Built in 1979 (41 yrs old),"$3,019",East Cambie,House,Freehold NonStrata,2 Storey,0.00 feet,R2494156,Allen Lu,Royal Pacific Realty Corp.,115 Days on REW,Washer/Dryer/Fridge/Stove/Dishwasher,,,,,,,,,,
7051 No. 6 Road,"$6,380,000",5,6,220 ft x 1260 ft (5.22 acres),Built in 1996 (24 yrs old),"$13,222",East Richmond,House,Freehold NonStrata,2 Storey,1260,220.00 feet,R2520351,Henry Wu PREC*,LeHomes Realty Premier,32 Days on REW,Garage Door Opener,Washer/Dryer/Fridge/Stove/Dishwasher,4,,,,,,,
