address	price	Bedrooms	Bath	Lot Size	Property Age	Gross Taxes for 2020	Area	Sub-Area/Community	Property Type	Title	Style																	
232 2565 W Broadway Avenue	"$1,065,000"	2	3	Built in 1995 (25 yrs old)	"$2,823"	$481	Vancouver West	Kitsilano	Townhouse	Freehold Strata	Inside Unit																	
203 2160 Cornwall Avenue	"$948,000"	2	2	Built in 1992 (28 yrs old)	"$2,402"	$508	Vancouver West	Kitsilano	Apt/Condo	Freehold Strata	End Unit																	
2781 W 15th Avenue	"$2,470,000"	4	3	4026 ft²	Built in 1929 (91 yrs old)	"$7,109"	Vancouver West	Kitsilano	House	Freehold NonStrata	1 Storey																	
2289 W 12th Avenue	"$1,299,000"	2	2	Built in 1998 (22 yrs old)	"$2,879"	$517	Vancouver West	Kitsilano	Townhouse	Freehold Strata	"2 Storey,Ground Level Unit"																	
1768 Cypress Street	"$2,190,000"	3	3	Built in 2022 (-2 yrs old)	$999	$545	Vancouver West	Kitsilano	Townhouse	Freehold Strata	3 Storey																	
1897 W 2nd Avenue	"$2,180,000"	2	3	Built in 2022 (-2 yrs old)	$999	$562	Vancouver West	Kitsilano	Townhouse	Freehold Strata	3 Storey																	
2070 W 14th Avenue	"$3,788,000"	8	4	50 ft x 125 ft (6250 ft²)	Built in 1922 (98 yrs old)	"$10,423"	Vancouver West	Kitsilano	House	Freehold NonStrata	Reverse 2 Storey w/Bsmt																	
2917 W 20th Avenue	"$4,288,000"	5	5	42 ft x 122 ft (5129 ft²)	Built in 2013 (7 yrs old)	"$12,652"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2688 W 19th Avenue	"$3,800,000"	6	6	52 ft x 120 ft (6240 ft²)	Built in 1987 (33 yrs old)	"$11,176"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey																	
3008 W 21st Avenue	"$2,780,000"	2	1	33 ft x 122 ft (4026 ft²)	Built in 1941 (79 yrs old)	"$7,278"	Vancouver West	Arbutus	House	Freehold NonStrata	1 Storey																	
2848 W 20th Avenue	"$3,380,000"	5	4	40 ft x 122 ft (4882 ft²)	Built in 1993 (27 yrs old)	"$9,251"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2181 W 22nd Avenue	"$5,680,000"	6	7	50 ft x 122 ft (6100 ft²)	Built in 2020 (0 yrs old)	"$13,110"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2996 W 21st Avenue	"$2,488,000"	4	3	38 ft x 122 ft (4660 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Arbutus	Duplex	Freehold Strata																	
3738 Carnarvon Street	"$2,688,000"	5	4	0 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Arbutus	Duplex	Freehold Strata																	
4248 Quesnel Drive	"$5,380,000"	4	5	50 ft x 129 ft (6469 ft²)	Built in 1995 (25 yrs old)	"$17,499"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2791 Alamein Avenue	"$2,998,000"	3	3	0 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Arbutus	Duplex	Freehold Strata																	
2789 Alamein Avenue	"$2,199,000"	2	3	0 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Arbutus	Duplex	Freehold Strata																	
2833 W 18th Avenue	"$1,998,000"	3	2	33 ft x 92 ft (3046 ft²)	Built in 1956 (64 yrs old)	"$6,474"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey																	
2969 W 22nd Avenue	"$4,350,000"	5	6	42 ft x 122 ft (5124 ft²)	Built in 2011 (9 yrs old)	"$6,983"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2557 W King Edward Avenue	"$2,598,000"	4	2	51 ft x 122 ft (6220 ft²)	Built in 1953 (67 yrs old)	"$7,860"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey																	
2137 W 20th Avenue	"$3,698,000"	6	6	50 ft x 122 ft (6100 ft²)	Built in 1992 (28 yrs old)	"$11,588"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3950 Puget Drive	"$4,650,000"	5	5	115 ft x 87 ft (8358 ft²)	Built in 1990 (30 yrs old)	"$12,753"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2772 W 20th Avenue	"$2,788,000"	4	5	33 ft x 122 ft (4026 ft²)	Built in 1995 (25 yrs old)	"$8,227"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3231 Vine Street	"$3,350,000"	4	4	50 ft x 150 ft (7500 ft²)	Built in 1989 (31 yrs old)	"$9,342"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey																	
2796 W 21st Avenue	"$2,599,000"	5	3	40 ft x 122 ft (4880 ft²)	Built in 1940 (80 yrs old)	"$6,726"	Vancouver West	Arbutus	House	Freehold NonStrata	2 Storey w/Bsmt.																	
405 2688 Vine Street	"$589,900"	1	1	Built in 1999 (21 yrs old)	"$1,568"	$431	Vancouver West	Kitsilano	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
2 2375 W Broadway	"$469,000"	0	1	Built in 1998 (22 yrs old)	"$1,106"	$205	Vancouver West	Kitsilano	Apt/Condo	Freehold Strata	"1 Storey,Ground Level Unit"																	
405 2688 Vine Street	"$589,900"	1	1	Built in 1999 (21 yrs old)	"$1,568"	$431	Vancouver West	Kitsilano	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
1928 Stephens Street	"$2,289,000"	5	3	30 ft x 100 ft (3000 ft²)	Built in 1910 (110 yrs old)	"$8,616"	Vancouver West	Kitsilano	House	Freehold NonStrata	2 Storey w/Bsmt.																	
310 2161 W 12th Avenue	"$849,000"	2	2	Built in 1997 (23 yrs old)	"$2,092"	$353	Vancouver West	Kitsilano	Apt/Condo	Freehold Strata	Upper Unit																	
1772 W Cypress Street	"$2,280,000"	3	3	Built in 2022 (-2 yrs old)	$999	$571	Vancouver West	Kitsilano	Townhouse	Freehold Strata	3 Storey																	
503 1888 York Avenue	"$599,000"	1	1	Built in 1994 (26 yrs old)	"$1,636"	$386	Vancouver West	Kitsilano	Apt/Condo	Freehold Strata	1 Storey																	
1367 Walnut Street	"$1,998,900"	2	2	Built in 1980 (40 yrs old)	"$4,628"	$307	Vancouver West	Kitsilano	Townhouse	Freehold Strata	2 Storey																	
2385 W 15th Avenue	"$5,568,000"	6	6	50 ft x 125 ft (6250 ft²)	Built in 2019 (1 yrs old)	"$14,549"	Vancouver West	Kitsilano	House	Freehold NonStrata	2 Storey w/Bsmt.																	
1827 W 15th Avenue	"$1,799,000"	3	3	50 ft x 125 ft (6250 ft²)	Built in 2021 (-1 yrs old)	"$9,636"	$0	Vancouver West	Kitsilano	Duplex	Freehold Strata																	
705 2445 W 3rd Avenue	"$899,900"	1	1	Built in 1975 (45 yrs old)	"$1,902"	$421	Vancouver West	Kitsilano	Apt/Condo	Freehold Strata	1 Storey																	
1605 Maple Street	"$1,299,000"	2	3	Built in 1951 (69 yrs old)	"$3,757"	$350	Vancouver West	Kitsilano	Townhouse	Freehold Strata	2 Storey w/Bsmt.																	
3115 Waterloo Street	"$2,788,888"	7	3	32 ft x 112 ft (3681 ft²)	"$7,728"	Vancouver West	Kitsilano	House	Freehold NonStrata	2 Storey w/Bsmt.	112.03																	
3023 Maple Street	"$1,688,000"	3	3	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Kitsilano	Townhouse	Freehold Strata	2 Storey																	
2006 W 14th Avenue	"$1,688,000"	2	3	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Kitsilano	Townhouse	Freehold Strata	2 Storey w/Bsmt.																	
1421 Walnut Street	"$3,900,000"	6	6	33 ft x 100 ft (3317 ft²)	Built in 1912 (108 yrs old)	"$8,001"	Vancouver West	Kitsilano	House	Freehold NonStrata	3 Storey																	
3334 W 39th Avenue	"$4,398,000"	5	6	50 ft x 101 ft (5075 ft²)	Built in 2016 (4 yrs old)	"$10,879"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4035 W 30th Avenue	"$4,980,000"	6	4	53 ft x 130 ft (6890 ft²)	Built in 1951 (69 yrs old)	"$11,002"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey																	
403 3590 W 26th Avenue	"$688,000"	2	1	Built in 1997 (23 yrs old)	"$1,837"	$299	Vancouver West	Dunbar	Apt/Condo	Freehold Strata	"Penthouse,Upper Unit"																	
3267 W 21st Avenue	"$4,388,000"	4	5	32 ft x 122 ft (3928 ft²)	Built in 2020 (0 yrs old)	"$8,096"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
305 3621 W 26th Avenue	"$899,000"	2	2	Built in 1992 (28 yrs old)	"$1,975"	$577	Vancouver West	Dunbar	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit,Upper Unit"																	
3919 W King Edward Avenue	"$2,748,000"	2	1	42 ft x 122 ft (5124 ft²)	Built in 1938 (82 yrs old)	"$8,220"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3965 W 32nd Avenue	"$4,380,000"	6	5	49 ft x 130 ft (6435 ft²)	Built in 2005 (15 yrs old)	"$14,857"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3569 W King Edward Avenue	"$2,740,000"	6	3	46 ft x 122 ft (5612 ft²)	Built in 1930 (90 yrs old)	"$8,054"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3336 W 35th Avenue	"$3,080,000"	3	3	50 ft x 129 ft (6498 ft²)	Built in 1963 (57 yrs old)	"$9,500"	Vancouver West	Dunbar	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
3334 W 39th Avenue	"$4,398,000"	5	6	50 ft x 101 ft (5075 ft²)	Built in 2016 (4 yrs old)	"$10,879"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3531 W 37th Avenue	"$3,988,000"	4	2	66 ft x 141 ft (9300 ft²)	Built in 1924 (96 yrs old)	"$10,176"	Vancouver West	Dunbar	House	Freehold NonStrata	2 Storey w/Bsmt.																	
210 3639 W 16th Avenue	"$1,599,900"	2	2	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Dunbar	Apt/Condo	Freehold Strata	Inside Unit																	
