8144 16th Avenue	"$1,488,000"	5	4	63 ft x 138 ft (8694 ft²)	Built in 2021 (-1 yrs old)	"$4,749"	Burnaby East	East Burnaby	Duplex	Freehold NonStrata	2 Storey	138	63.00 feet	R2513660	Parm Grewal PREC*	RE/MAX Crest Realty	59 Days on REW	"Air Conditioning, Drapes/window Coverings, Security System, Vacuum - Built In, Wet Bar"	"Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher"	Central Airconditioning	1	Yes					
8146 16th Avenue	"$1,488,000"	5	4	63 ft x 138 ft (8694 ft²)	Built in 2021 (-1 yrs old)	"$4,749"	Burnaby East	East Burnaby	Duplex	Freehold NonStrata	2 Storey	138	63.00 feet	R2513669	Parm Grewal PREC*	RE/MAX Crest Realty	59 Days on REW	"Air Conditioning, Drapes/window Coverings, Security System, Vacuum - Built In, Wet Bar"	"Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher"	Central Airconditioning	1	Yes					
7707 16th Avenue	"$1,088,000"	5	4	4100 ft²	Built in 1995 (25 yrs old)	"$2,918"	Burnaby East	East Burnaby	Duplex	Freehold NonStrata	2 Storey w/Bsmt.	R2512468	Vanessa Mac PREC*	Oakwyn Realty Ltd.	62 Days on REW	"Private Yard, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"Garden, In Suite Laundry"	1								
8067 10th Avenue	"$1,369,000"	5	4	51 ft x 136 ft (6936 ft²)	Built in 2004 (16 yrs old)	"$4,784"	Burnaby East	East Burnaby	House	Freehold NonStrata	Basement Entry	136	51.00 feet	R2509521	Surinder Bhandal	Royal Pacific Realty (Kingsway) Ltd.	Lotus Yuen PREC*	RE/MAX Crest Realty	71 Days on REW	2							
7964 14th Avenue	"$2,138,000"	6	5	50 ft x 120 ft (6000 ft²)	Built in 2018 (2 yrs old)	"$5,725"	Burnaby East	East Burnaby	House	Freehold NonStrata	2 Storey w/Bsmt.	Heat Recovery Ventilator	120	50.00 feet	R2501679	Tracy Niu PREC*	Nu Stream Realty Inc.	96 Days on REW	"Air Conditioning, Central Location, Garage Door Opener, Heat Recovery Ventilator, Pantry, Private Yard, Security System, Smoke Alarm"	"Recreation Nearby, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	2	Yes				
8163 18th Avenue	"$1,235,000"	4	2	33 ft x 147 ft (4851 ft²)	Built in 1955 (65 yrs old)	"$3,820"	Burnaby East	East Burnaby	House	Freehold NonStrata	2 Storey	147	33.00 feet	R2494180	Desi Louvris PREC*	Sutton Group-West Coast Realty	114 Days on REW	Central Location	Shopping Nearby	Washer/Dryer/Fridge/Stove/Dishwasher							
8478 15th Avenue	"$2,249,999"	7	7	63 ft x 105 ft (6615 ft²)	Built in 2016 (4 yrs old)	"$6,891"	Burnaby East	East Burnaby	House	Freehold NonStrata	2 Storey w/Bsmt.	105	63.00 feet	R2519416	Joe Bhango PREC*	Sutton Centre Realty	35 Days on REW	"Central Location, Fireplace Insert, Garage Door Opener, Garden, Lane Access, Oven - Built In, Pantry, Private Yard, Vacuum - Built In"	"Air Conditioning, Central Air Conditioning, Recreation Nearby, Shopping Nearby"	"In Suite Laundry, Washer/Dryer/Fridge/Stove/Dishwasher"	2	Yes					
7821 19th Avenue	"$998,000"	2	2	36 ft x 154 ft (5544 ft²)	Built in 1952 (68 yrs old)	"$2,846"	Burnaby East	East Burnaby	Duplex	Freehold NonStrata	2 Storey	154	36.00 feet	R2517657	Helena Zhang	Sutton Group - Vancouver First Realty	Edgar Sung	Sutton Group - Vancouver First Realty	42 Days on REW	Shopping Nearby	Washer/Dryer/Fridge/Stove/Dishwasher	In Suite Laundry	1				
7737 14th Avenue	"$2,148,000"	7	8	50 ft x 120 ft (6000 ft²)	Built in 2017 (3 yrs old)	"$5,852"	Burnaby East	East Burnaby	House	Freehold NonStrata	3 Storey	120	50.00 feet	R2507205	Shaan Jagpal	Team 3000 Realty Ltd.	80 Days on REW	"Air Conditioning, Intercom, Jetted Bathtub, Oven - Built In, Security System, Smoke Alarm, Storage Shed, Vacuum - Roughed In"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	2	Yes						
7728 18th Avenue	"$2,250,000"	7	6	50 ft x 120 ft (6000 ft²)	Built in 2011 (9 yrs old)	"$5,359"	Burnaby East	East Burnaby	House	Freehold NonStrata	2 Storey w/Bsmt.	120	50.00 feet	R2505387	Bill Jassal	Lee & Associates Vancouver	84 Days on REW	"Air Conditioning, Central Location, Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Oven - Built In, Paved Road, Smoke Alarm, Wet Bar"	"In Suite Laundry, Recreation Nearby, Shopping Nearby"	"Compactor - Garbage, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	1	Yes					
